family,level,compression,psnr,msssim,normalized_psnr,normalized_msssim,combined_score
bior1.1,1,74.08148500456123,69.91100285166468,0.9946644598841148,0.778947168945879,0.9917338885941197,0.8853405287699994
bior1.1,2,74.0830444005169,74.46521762874941,0.994693714221716,0.8714502094210476,0.9985558126607922,0.9350030110409199
bior1.1,3,74.08378306175905,77.96890196497256,0.9946999073050116,0.9426153761577224,1.0,0.9713076880788611
bior1.1,4,74.08324958419527,80.79412695798351,0.9946992305611866,1.0,0.9998421876765927,0.9999210938382963
bior1.3,1,74.08193640865366,64.93604302981007,0.9946135554486604,0.6778981556057706,0.9798633004420264,0.8288807280238986
bior1.3,2,74.08394720870176,68.46169558562198,0.9946695841089912,0.7495095303509066,0.9929288249992418,0.8712191776750742
bior1.3,3,74.08476794341526,72.46986514886419,0.994691817114148,0.830921560632287,0.9981134193326003,0.9145174899824436
bior1.3,4,74.08148500456123,74.64402146444745,0.9946937006196612,0.8750819877319682,0.9985526407487711,0.9368173142403697
bior1.3,5,74.08558867812877,76.2263417282117,0.994689332747348,0.9072213229561532,0.9975340809146872,0.9523777019354203
bior1.5,1,74.07963835145583,62.606327079797055,0.994541026455803,0.6305780753355007,0.9629500040738356,0.7967640397046681
bior1.5,2,74.08308543725258,65.76502483405469,0.9946337538865462,0.6947360390049161,0.9845734467253068,0.8396547428651114
bior1.5,3,74.08062323311205,68.68484259422921,0.9946716183026252,0.7540419860604989,0.9934031859195636,0.8737225859900313
bior1.5,4,74.08468586994391,70.90856651984313,0.9946813491741736,0.7992092068362261,0.995672362809184,0.8974407848227051
bior1.5,5,74.08485001688662,72.4049350887739,0.9946829702509408,0.8296027321908158,0.9960503875234167,0.9128265598571162
bior2.2,1,74.05903791014678,55.58350010293874,0.99373738539448,0.48793376014879447,0.7755460583092288,0.6317399092290117
bior2.2,2,74.07278521659805,55.16593950781927,0.9936661560161006,0.4794524683077677,0.7589358237093795,0.6191941460085736
bior2.2,3,74.08123878414719,54.89133368169091,0.993667465015402,0.4738748056167409,0.7592410739583912,0.616557939787566
bior2.2,4,74.09108760070929,54.61921504915705,0.993685843198767,0.4683476616168612,0.7635267485516001,0.6159372050842307
bior2.2,5,74.09753036821031,54.28744558224781,0.9936895412871014,0.46160891829268813,0.7643891190538247,0.6129990186732563
bior2.4,1,74.07397528193263,59.78783748495707,0.9943520267826778,0.573330257691464,0.9188764914118748,0.7461033745516694
bior2.4,2,74.07446772276074,63.194176369906415,0.994559028353142,0.6425181900068369,0.9671479311770487,0.8048330605919427
bior2.4,3,74.0778737718218,66.74360583790586,0.9946469407992689,0.7146125100626605,0.9876485502704319,0.8511305301665462
bior2.4,4,74.08164915150394,68.95946996862826,0.9946650222796756,0.7596200864297322,0.9918650356350619,0.875742561032397
bior2.4,5,74.08382409849473,70.41946928284695,0.994662571001261,0.7892748968125094,0.9912934132165853,0.8902841550145473
bior2.6,1,74.0711847839067,59.10482499389808,0.9942976840024684,0.5594572334275711,0.906204103295866,0.7328306683617185
bior2.6,2,74.07865346979963,62.20984550721147,0.994522993138637,0.6225249305560575,0.9587447500683132,0.7906348403121853
bior2.6,3,74.08542453118608,64.47859801849306,0.9946040156228224,0.6686067505078082,0.9776386741878664,0.8231227123478373
bior2.6,4,74.0855476413931,66.48148501674666,0.9946381787240322,0.7092884368434798,0.9856052904726549,0.8474468636580673
bior2.6,5,74.08255195968879,67.93637508787742,0.9946400260912128,0.7388394707152022,0.9860360846612499,0.862437777688226
bior2.8,1,74.07877658000666,61.097279865684605,0.99446411262243,0.5999270273813372,0.9450141909954677,0.7724706091884024
bior2.8,2,74.08045908616934,64.2114880089053,0.994598941751304,0.663181339270608,0.9764554798631743,0.8198184095668911
bior2.8,3,74.08238781274609,67.72302187844471,0.994661796613086,0.734505941987711,0.9911128308564519,0.8628093864220814
bior2.8,4,74.08132085761852,70.6489296790202,0.9946809333940304,0.7939355870420224,0.9955754055441102,0.8947554962930663
bior2.8,5,74.08312647398824,73.27402703673124,0.994689153127964,0.8472553137166268,0.9974921948253326,0.9223737542709797
bior3.1,1,74.06831221240942,47.19368469809858,0.994100037755216,0.3175238273809964,0.8601142649547473,0.5888190461678718
bior3.1,2,74.06580897153323,47.1506931880773,0.9941823878749828,0.3166506043148386,0.8793177851843784,0.5979841947496085
bior3.1,3,74.06125389387326,47.14744278695501,0.994189264982699,0.3165845837160543,0.8809214826352524,0.5987530331756533
bior3.1,4,74.06416750210622,47.1477508877759,0.9942000837324836,0.3165908417131186,0.8834443457584166,0.6000175937357676
bior3.1,5,74.06371609801377,47.14886651607939,0.9942156805934326,0.3166135018236237,0.8870814337869574,0.6018474678052905
bior3.3,1,74.02501845627188,52.30654496354117,0.9928008022209662,0.42137380882189523,0.5571408638754617,0.48925733634867846
bior3.3,2,74.02440290523674,52.268844162729934,0.9928616314832404,0.4206080481201963,0.5713258580435736,0.495966953081885
bior3.3,3,74.04352602406148,52.63238268883923,0.9930978232795944,0.4279920694369287,0.6264042714351274,0.527198170436028
bior3.3,4,74.05509838352195,52.26449311899556,0.9931421191201693,0.42051967179312993,0.6367337776092178,0.5286267247011739
bior3.3,5,74.06543964091215,51.97177386642856,0.9932131198246028,0.41457409781530385,0.6532906869102552,0.5339323923627795
bior3.5,1,74.02456705217944,52.76718318664005,0.993012315572298,0.43073007291601006,0.6064644220274145,0.5185972474717122
bior3.5,2,74.03146122377291,52.70348566620261,0.9930305676914604,0.4294362792326643,0.6107206992564154,0.5200784892445398
bior3.5,3,74.04762969762902,52.54039815935435,0.9931052302042536,0.42612372350453165,0.6281315188020359,0.5271276211532838
bior3.5,4,74.06141804081597,52.48222471545879,0.9932345447143188,0.4249421322316897,0.6582868339012299,0.5416144830664598
bior3.5,5,74.06465994293431,52.49832842102408,0.9933662051434142,0.42526922302573855,0.6889892022855929,0.5571292126556657
bior3.7,1,74.02768584409077,52.64844589315303,0.9928836652421916,0.42831833758885623,0.5764639894385721,0.5023911635137142
bior3.7,2,74.0423359587269,52.38376996358001,0.992882118912252,0.4229423662250795,0.5761033952055357,0.4995228807153076
bior3.7,3,74.06026901221705,52.42539667215239,0.9930426877571458,0.4237878680945332,0.6135470209088107,0.518667444501672
bior3.7,4,74.06642452256835,52.52784770622676,0.9932238025312392,0.4258688046808773,0.6557818256430263,0.5408253151619518
bior3.7,5,74.07114374717104,52.617617088497184,0.9933939568276172,0.427692157598569,0.6954607172088001,0.5615764374036846
bior3.9,1,74.03228195848641,52.59461270800907,0.9928041519574484,0.4272249035836496,0.5579220009579814,0.4925734522708155
bior3.9,2,74.04713725680091,52.3534049770406,0.9928342173897498,0.42232560708736466,0.5649330671112115,0.4936293370992881
bior3.9,3,74.06314158371433,52.39268770210796,0.9930073959131444,0.4231234990807694,0.6053171890379924,0.5142203440593809
bior3.9,4,74.07327765742615,52.50247624082846,0.9931981949101978,0.4253534715651748,0.6498102925099295,0.5375818820375522
bior3.9,5,74.07212862882724,52.62204986976409,0.9933755671226568,0.4277821941394483,0.6911723558533616,0.559477274996405
bior4.4,1,72.62997462698632,49.87018797071521,0.9922792868116164,0.3718876865043165,0.4355268122884143,0.4037072493963654
bior4.4,2,72.72099410671439,49.87235726057789,0.9924157287498192,0.3719317480863437,0.46734419795669624,0.41963797302151995
bior4.4,3,73.04481498792904,49.90141870137283,0.9928421392366932,0.37252203022403463,0.5667803910551839,0.46965121063960924
bior4.4,4,73.34828164824869,49.8762931740059,0.9934025644931624,0.3720116924844362,0.6974679696559827,0.5347398310702094
bior4.4,5,73.598441588926,49.77018981266233,0.9938476983017804,0.36985657156692897,0.8012703214060365,0.5855634464864827
bior5.5,1,75.20158270482153,49.77212204581066,0.9918513469998368,0.3698958181659315,0.33573399042186175,0.3528149042938966
bior5.5,2,75.09611829413572,49.72590903874858,0.9921788224124336,0.3689571615869198,0.41209915817536374,0.39052815988114176
bior5.5,3,74.84361925952493,49.70505715021518,0.992613891832756,0.36853362796292516,0.5135545590675223,0.4410440935152238
